Tipo de Tarefa;Modelo;Comp1;Comp2;Comp3;Comp4;Comp5;Comp6;Comp7;Comp8;Comp9;Comp10;Comp11;Comp12;Comp13;Comp14
AB;book;;;;;;;;;;;;;;;
AC;glasses;money;cellphone;;;;;;;;;;;;;;;
AC;bag;;;;;;;;;;;;;;;
AC;bag;wallet;;;;;;;;;;;;;;;
AC;bag;wallet;book;;;;;;;;;;;;;;;
AC;wallet;;;;;;;;;;;;;;;
AC;wallet;coins;;;;;;;;;;;;;;;
AC;wallet;book;coins;;;;;;;;;;;;;;;
AC;money;;;;;;;;;;;;;;;
AC;money;wallet;;;;;;;;;;;;;;;
AC;money;coins;wallet;;;;;;;;;;;;;;;
AC;clock;;;;;;;;;;;;;;;
AC;clock;desk;;;;;;;;;;;;;;;
AC;clock;desk;glasses;;;;;;;;;;;;;;;
AC;cellphone;;;;;;;;;;;;;;;
AC;cellphone;wallet;;;;;;;;;;;;;;;
AC;cellphone;desk;money;;;;;;;;;;;;;;;
AC;coins;;;;;;;;;;;;;;;
AC;coins;money;;;;;;;;;;;;;;;
AC;coins;wallet;desk;;;;;;;;;;;;;;;
AC;desk;;;;;;;;;;;;;;;
AC;desk;clock;;;;;;;;;;;;;;;
AC;desk;money;clock;;;;;;;;;;;;;;;
CB;book;;;;;;;;;;;;;;;
CB;book;coins;;;;;;;;;;;;;;;
CB;book;money;glasses;;;;;;;;;;;;;;;
CB;pens;;;;;;;;;;;;;;;
CB;pens;bag;;;;;;;;;;;;;;;
CB;pens;bag;desk;;;;;;;;;;;;;;;;
CB;glasses;;;;;;;;;;;;;;;
CB;glasses;desk;;;;;;;;;;;;;;;
CB;glasses;money;cellphone;;;;;;;;;;;;;;;
CB;bag;;;;;;;;;;;;;;;
CB;bag;wallet;;;;;;;;;;;;;;;
CB;bag;wallet;book;;;;;;;;;;;;;;;
CB;wallet;;;;;;;;;;;;;;;
CB;wallet;coins;;;;;;;;;;;;;;;
CB;wallet;book;coins;;;;;;;;;;;;;;;
CB;money;;;;;;;;;;;;;;;
CB;money;wallet;;;;;;;;;;;;;;;
CB;money;coins;wallet;;;;;;;;;;;;;;;
CB;clock;;;;;;;;;;;;;;;
CB;clock;desk;;;;;;;;;;;;;;;
CB;clock;desk;glasses;;;;;;;;;;;;;;;
CB;cellphone;;;;;;;;;;;;;;;
CB;cellphone;wallet;;;;;;;;;;;;;;;
CB;cellphone;desk;money;;;;;;;;;;;;;;;
CB;coins;;;;;;;;;;;;;;;
CB;coins;money;;;;;;;;;;;;;;;
CB;coins;wallet;desk;;;;;;;;;;;;;;;
CB;desk;;;;;;;;;;;;;;;
CB;desk;clock;;;;;;;;;;;;;;;
CB;desk;money;clock;;;;;;;;;;;;;;;
AE;book;;;;;;;;;;;;;;
AE;book;bo;ok;;;;;;;;;;;;;;
AE;book;bo;ok;ki;bu;;;;;;;;;;;;;;
AE;clock;;;;;;;;;;;;;;
AE;clock;clo;ck;;;;;;;;;;;;;;
AE;clock;clo;ok;ki;cl;;;;;;;;;;;;;;
AE;glass-es;;;;;;;;;;;;;;
AE;glass-es;gla;ss;;;;;;;;;;;;;;
AE;glass-es;gla;ss;sses;;;;;;;;;;;;;;
AE;pens;;;;;;;;;;;;;;
AE;pens;pe;ns;;;;;;;;;;;;;;
AE;pens;pe;ns;pen;s;;;;;;;;;;;;;;
AE;bag;;;;;;;;;;;;;;
AE;bag;b;a;g;;;;;;;;;;;;;;
AE;bag;ba;g;b;ag;;;;;;;;;;;;;;
AE;wal-let;;;;;;;;;;;;;;
AE;wal-let;wa;le;t;;;;;;;;;;;;;;
AE;wal-let;wa;llet;ll;;;;;;;;;;;;;;
AE;mon-ey;;;;;;;;;;;;;;
AE;mon-ey;mo;ney;;;;;;;;;;;;;;
AE;mon-ey;mo;ney;y;;;;;;;;;;;;;;
AE;cell-phone;;;;;;;;;;;;;;
AE;cell-phone;pho;ne;;;;;;;;;;;;;;
AE;cell-phone;pho;ne;ce;ll;;;;;;;;;;;;;;
AE;desk;;;;;;;;;;;;;;
AE;desk;de;sk;;;;;;;;;;;;;;
AE;desk;des;k;de;sk;;;;;;;;;;;;;;
AE;coins;co;ins;;;;;;;;;;;;;;
AE;coins;co;ins;coi;ns;;;;;;;;;;;;;;
BE;book;;;;;;;;;;;;;;
BE;book;bo;ok;;;;;;;;;;;;;;
BE;book;bo;ok;ki;bu;;;;;;;;;;;;;;
BE;clock;;;;;;;;;;;;;;
BE;clock;clo;ck;;;;;;;;;;;;;;
BE;clock;clo;ok;ki;cl;;;;;;;;;;;;;;
BE;glass-es;;;;;;;;;;;;;;
BE;glass-es;gla;ss;;;;;;;;;;;;;;
BE;glass-es;gla;ss;sses;;;;;;;;;;;;;;
BE;pens;;;;;;;;;;;;;;
BE;pens;pe;ns;;;;;;;;;;;;;;
BE;pens;pe;ns;pen;s;;;;;;;;;;;;;;
BE;bag;;;;;;;;;;;;;;
BE;bag;b;a;g;;;;;;;;;;;;;;
BE;bag;ba;g;b;ag;;;;;;;;;;;;;;
BE;wal-let;;;;;;;;;;;;;;
BE;wal-let;wa;le;t;;;;;;;;;;;;;;
BE;wal-let;wa;llet;ll;;;;;;;;;;;;;;
BE;mon-ey;;;;;;;;;;;;;;
BE;mon-ey;mo;ney;;;;;;;;;;;;;;
BE;mon-ey;mo;ney;y;;;;;;;;;;;;;;
BE;cell-phone;;;;;;;;;;;;;;
BE;cell-phone;pho;ne;;;;;;;;;;;;;;
BE;cell-phone;pho;ne;ce;ll;;;;;;;;;;;;;;
BE;desk;;;;;;;;;;;;;;
BE;desk;de;sk;;;;;;;;;;;;;;
BE;desk;des;k;de;sk;;;;;;;;;;;;;;
BE;coins;co;ins;;;;;;;;;;;;;;
BE;coins;co;ins;coi;ns;;;;;;;;;;;;;;
CE;
CE;book;;;;;;;;;;;;;;
CE;book;bo;ok;;;;;;;;;;;;;;
CE;book;bo;ok;ki;bu;;;;;;;;;;;;;;
CE;clock;;;;;;;;;;;;;;
CE;clock;clo;ck;;;;;;;;;;;;;;
CE;clock;clo;ok;ki;cl;;;;;;;;;;;;;;
CE;glass-es;;;;;;;;;;;;;;
CE;glass-es;gla;ss;;;;;;;;;;;;;;
CE;glass-es;gla;ss;sses;;;;;;;;;;;;;;
CE;pens;;;;;;;;;;;;;;
CE;pens;pe;ns;;;;;;;;;;;;;;
CE;pens;pe;ns;pen;s;;;;;;;;;;;;;;
CE;bag;;;;;;;;;;;;;;
CE;bag;b;a;g;;;;;;;;;;;;;;
CE;bag;ba;g;b;ag;;;;;;;;;;;;;;
CE;wal-let;;;;;;;;;;;;;;
CE;wal-let;wa;le;t;;;;;;;;;;;;;;
CE;wal-let;wa;llet;ll;;;;;;;;;;;;;;
CE;mon-ey;;;;;;;;;;;;;;
CE;mon-ey;mo;ney;;;;;;;;;;;;;;
CE;mon-ey;mo;ney;y;;;;;;;;;;;;;;
CE;cell-phone;;;;;;;;;;;;;;
CE;cell-phone;pho;ne;;;;;;;;;;;;;;
CE;cell-phone;pho;ne;ce;ll;;;;;;;;;;;;;;
CE;desk;;;;;;;;;;;;;;
CE;desk;de;sk;;;;;;;;;;;;;;
CE;desk;des;k;de;sk;;;;;;;;;;;;;;
CE;coins;co;ins;;;;;;;;;;;;;;
CE;coins;co;ins;coi;ns;;;;;;;;;;;;;;
